4
darknet-yolov3
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
544
Loaded: 0.768239 seconds
Region 94 Avg IOU: 0.130968, Class: 0.243311, Obj: 0.542696, No Obj: 0.493963, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.605825, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.380885, Class: 0.683244, Obj: 0.371112, No Obj: 0.487344, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.179816, Class: 0.415316, Obj: 0.537984, No Obj: 0.493832, .5R: 0.000000, .75R: 0.000000,  count: 19
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.605621, .5R: -nan, .75R: -nan,  count: 0
1: 7800.691406, 7800.691406 avg, 0.000000 rate, 7449.400730 seconds, 64 images
Loaded: 0.000122 seconds
Region 82 Avg IOU: 0.183117, Class: 0.547609, Obj: 0.510026, No Obj: 0.488200, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.086158, Class: 0.261643, Obj: 0.742663, No Obj: 0.493529, .5R: 0.125000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: 0.065830, Class: 0.580773, Obj: 0.684389, No Obj: 0.609098, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 82 Avg IOU: 0.179653, Class: 0.423901, Obj: 0.285497, No Obj: 0.489038, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.149579, Class: 0.474601, Obj: 0.547277, No Obj: 0.493847, .5R: 0.125000, .75R: 0.000000,  count: 16
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.608569, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.038690, Class: 0.900316, Obj: 0.606121, No Obj: 0.487460, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.105229, Class: 0.495641, Obj: 0.475814, No Obj: 0.494000, .5R: 0.000000, .75R: 0.000000,  count: 16
Region 106 Avg IOU: 0.039740, Class: 0.996969, Obj: 0.870317, No Obj: 0.605501, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.274054, Class: 0.830522, Obj: 0.860552, No Obj: 0.486932, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.117950, Class: 0.512748, Obj: 0.627120, No Obj: 0.494100, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 106 Avg IOU: 0.438354, Class: 0.233308, Obj: 0.720138, No Obj: 0.603164, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.197140, Class: 0.599797, Obj: 0.504843, No Obj: 0.486968, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.207646, Class: 0.386308, Obj: 0.459528, No Obj: 0.495211, .5R: 0.083333, .75R: 0.000000,  count: 12
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.608821, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.362546, Class: 0.762486, Obj: 0.506577, No Obj: 0.486838, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.214907, Class: 0.439578, Obj: 0.483377, No Obj: 0.494049, .5R: 0.080000, .75R: 0.000000,  count: 25
Region 106 Avg IOU: 0.336213, Class: 0.490275, Obj: 0.661405, No Obj: 0.609692, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.272028, Class: 0.597081, Obj: 0.517045, No Obj: 0.486401, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.109313, Class: 0.280138, Obj: 0.605610, No Obj: 0.494135, .5R: 0.058824, .75R: 0.000000,  count: 17
Region 106 Avg IOU: 0.118501, Class: 0.967927, Obj: 0.708478, No Obj: 0.600559, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.133797, Class: 0.714005, Obj: 0.352847, No Obj: 0.486383, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.031191, Class: 0.344201, Obj: 0.437906, No Obj: 0.493525, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.605804, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.099375, Class: 0.620661, Obj: 0.212789, No Obj: 0.486296, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.041742, Class: 0.524584, Obj: 0.544391, No Obj: 0.492755, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 106 Avg IOU: 0.130145, Class: 0.244451, Obj: 0.912792, No Obj: 0.598193, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: 0.077626, Class: 0.568260, Obj: 0.398558, No Obj: 0.488153, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.045902, Class: 0.429497, Obj: 0.624044, No Obj: 0.494418, .5R: 0.000000, .75R: 0.000000,  count: 17
Region 106 Avg IOU: 0.149580, Class: 0.967177, Obj: 0.618343, No Obj: 0.604878, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.281864, Class: 0.659744, Obj: 0.687706, No Obj: 0.487523, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.052713, Class: 0.334198, Obj: 0.549804, No Obj: 0.493122, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 106 Avg IOU: 0.100999, Class: 0.681735, Obj: 0.785466, No Obj: 0.604419, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.144321, Class: 0.624716, Obj: 0.649927, No Obj: 0.486567, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.109351, Class: 0.458015, Obj: 0.674554, No Obj: 0.493691, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.608930, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.189995, Class: 0.611891, Obj: 0.604160, No Obj: 0.487752, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.028722, Class: 0.087856, Obj: 0.429663, No Obj: 0.495680, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.608981, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.122570, Class: 0.821297, Obj: 0.226582, No Obj: 0.488823, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.039168, Class: 0.304924, Obj: 0.729824, No Obj: 0.493413, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.604037, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.098488, Class: 0.838189, Obj: 0.610991, No Obj: 0.485991, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.106261, Class: 0.399930, Obj: 0.497112, No Obj: 0.494559, .5R: 0.058824, .75R: 0.000000,  count: 17
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.606040, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.084843, Class: 0.365737, Obj: 0.706211, No Obj: 0.487623, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.172561, Class: 0.276100, Obj: 0.603563, No Obj: 0.493174, .5R: 0.111111, .75R: 0.000000,  count: 18
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.600569, .5R: -nan, .75R: -nan,  count: 0
2: 7799.397949, 7800.562012 avg, 0.000000 rate, 6079.801261 seconds, 128 images
Loaded: 0.000109 seconds
Region 82 Avg IOU: 0.182073, Class: 0.563690, Obj: 0.610530, No Obj: 0.486792, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.129519, Class: 0.330783, Obj: 0.517118, No Obj: 0.493201, .5R: 0.000000, .75R: 0.000000,  count: 14
Region 106 Avg IOU: 0.000680, Class: 0.525778, Obj: 0.388929, No Obj: 0.599825, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.168294, Class: 0.782474, Obj: 0.382286, No Obj: 0.486666, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.055503, Class: 0.293053, Obj: 0.576995, No Obj: 0.493374, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.604427, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.235747, Class: 0.685195, Obj: 0.518802, No Obj: 0.486585, .5R: 0.111111, .75R: 0.000000,  count: 9
Region 94 Avg IOU: 0.102397, Class: 0.357012, Obj: 0.501108, No Obj: 0.494458, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.606456, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.084227, Class: 0.674713, Obj: 0.490633, No Obj: 0.487112, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.095876, Class: 0.228137, Obj: 0.596632, No Obj: 0.494074, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.600605, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.486602, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.111478, Class: 0.388579, Obj: 0.594029, No Obj: 0.493612, .5R: 0.052632, .75R: 0.000000,  count: 19
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.604538, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.103343, Class: 0.711791, Obj: 0.384690, No Obj: 0.488841, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.090221, Class: 0.293504, Obj: 0.649890, No Obj: 0.494496, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.611390, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.210359, Class: 0.504441, Obj: 0.720295, No Obj: 0.487091, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.084715, Class: 0.369646, Obj: 0.589520, No Obj: 0.493063, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.599890, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.036255, Class: 0.575841, Obj: 0.585557, No Obj: 0.485108, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.167175, Class: 0.308912, Obj: 0.599694, No Obj: 0.494913, .5R: 0.111111, .75R: 0.000000,  count: 27
Region 106 Avg IOU: 0.013894, Class: 0.989846, Obj: 0.906281, No Obj: 0.611373, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.075236, Class: 0.073807, Obj: 0.764058, No Obj: 0.485961, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.078248, Class: 0.297317, Obj: 0.543876, No Obj: 0.494504, .5R: 0.000000, .75R: 0.000000,  count: 15
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.605815, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.199850, Class: 0.529489, Obj: 0.554266, No Obj: 0.486742, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.109617, Class: 0.369261, Obj: 0.404552, No Obj: 0.495183, .5R: 0.000000, .75R: 0.000000,  count: 16
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.613432, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.105659, Class: 0.445607, Obj: 0.195035, No Obj: 0.486373, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.084178, Class: 0.365013, Obj: 0.589190, No Obj: 0.492805, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.602985, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.613337, Class: 0.469893, Obj: 0.508220, No Obj: 0.486452, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.110017, Class: 0.242038, Obj: 0.545913, No Obj: 0.494727, .5R: 0.000000, .75R: 0.000000,  count: 18
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.607461, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.069540, Class: 0.674943, Obj: 0.503966, No Obj: 0.487476, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.115510, Class: 0.262010, Obj: 0.473273, No Obj: 0.493416, .5R: 0.052632, .75R: 0.000000,  count: 19
Region 106 Avg IOU: 0.232655, Class: 0.729128, Obj: 0.844435, No Obj: 0.602801, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.231445, Class: 0.620347, Obj: 0.448034, No Obj: 0.488463, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.108407, Class: 0.411724, Obj: 0.494213, No Obj: 0.493810, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.607782, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.279918, Class: 0.715535, Obj: 0.782893, No Obj: 0.487555, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.074786, Class: 0.353658, Obj: 0.489341, No Obj: 0.494511, .5R: 0.000000, .75R: 0.000000,  count: 25
Region 106 Avg IOU: 0.353548, Class: 0.251667, Obj: 0.259656, No Obj: 0.607851, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.339959, Class: 0.619885, Obj: 0.336995, No Obj: 0.487256, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.068577, Class: 0.355241, Obj: 0.527086, No Obj: 0.494583, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.611576, .5R: -nan, .75R: -nan,  count: 0
3: 7812.016602, 7801.707520 avg, 0.000000 rate, 5465.851539 seconds, 192 images
Loaded: 0.000163 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.487510, .5R: -nan, .75R: -nan,  count: 0
